name,followers,active_followers,growth_rate,avg_story_views,niche,secondary_niche,city,estimated_reach,avg_likes,avg_comments,roi_score,engagement_rate
Aarav Kaur,103292,82030,4.68,34816,Beauty,Finance,Hyderabad,37683,3684,284,3.84,3.44
Krishna Jain,542587,228148,0.64,128852,Photography,Health,Delhi,151024,9809,511,1.9,3.85
Krishna Sharma,2722687,2177261,1.95,1292659,Gaming,Tech,Delhi,808572,92100,4225,3.54,2.84
Arjun Kaur,1327148,608712,5.19,271676,Fashion,Food,Jaipur,344275,51452,3838,4.17,2.01
Aditya Singh,667697,467278,1.01,198420,Comedy,Photography,Mumbai,229916,26055,1658,4.15,3.58
Kiran Gupta,2171705,1326825,5.25,359730,Education,Fashion,Chandigarh,656244,66915,5134,3.32,2.18
Kiran Singh,2988910,2012278,5.47,1156935,Beauty,Finance,Bangalore,920700,59837,4640,2.16,2.2
Aanya Singh,682307,372675,0.76,199366,Travel,Fashion,Hyderabad,184762,39568,2384,6.15,1.91
Sara Kaur,890398,668008,2.25,392092,Travel,Motivation,Hyderabad,342385,45613,1462,5.29,5.05
Diya Singh,491817,350879,0.61,74093,Travel,Fashion,Bangalore,156028,28883,742,6.02,2.73
Rohan Kaur,2546087,1845871,7.42,410731,Comedy,Motivation,Jaipur,940751,105727,7498,4.45,2.88
Meera Kapoor,274998,131928,5.11,57208,Finance,Fitness,Chandigarh,81766,10879,500,4.14,3.44
Ishaan Sharma,687288,518116,5.61,146685,DIY,Fashion,Jaipur,202937,10144,787,1.59,2.83
Vivaan Singh,1245687,525034,5.18,120544,Education,DIY,Chandigarh,360384,16024,959,1.36,2.92
Ishaan Gupta,1164267,806500,1.6,233375,Health,Motivation,Hyderabad,342273,67685,1532,5.95,3.1
Tanya Kapoor,1907967,1236080,1.62,508038,Travel,Fashion,Bangalore,741822,47805,2871,2.66,1.8
Krishna Verma,1137428,803901,7.61,289683,Food,Photography,Bangalore,410152,31640,1571,2.92,3.21
Rohan Kaur,2212702,1702275,6.68,814575,Beauty,Food,Delhi,817876,94880,2583,4.4,2.65
Vivaan Kapoor,1466961,671808,7.22,245854,Fitness,Motivation,Chandigarh,580165,39152,3116,2.88,1.93
Aanya Gupta,2622332,1976997,4.93,1147204,Photography,Fashion,Jaipur,688442,42165,2621,1.71,2.13
Sara Kaur,1079039,520301,2.41,181253,Comedy,Parenting,Pune,412103,28519,1754,2.81,2.57
Sara Kapoor,1966648,1322568,5.92,359141,Comedy,Finance,Mumbai,578133,30177,1997,1.64,2.58
Neha Mehta,930764,432252,5.36,87236,Parenting,Photography,Kolkata,234211,43903,3398,5.08,1.97
Simran Kapoor,1345758,768798,3.95,280755,Food,Finance,Mumbai,461841,42606,908,3.23,3.33
Nikhil Jain,2635713,1989053,2.09,841991,Comedy,Education,Jaipur,775598,154126,4555,6.02,4.31
Aanya Gupta,2014284,1287474,2.04,310478,Travel,Education,Bangalore,667398,103486,2519,5.26,2.65
Arjun Kapoor,1970870,1557096,4.73,348720,Beauty,Education,Hyderabad,733661,29463,753,1.53,4.34
Riya Singh,539645,340639,7.89,174420,Fitness,Finance,Jaipur,178419,17089,1252,3.4,3.67
Diya Sharma,1809417,1267285,1.27,321550,Education,Fashion,Jaipur,458275,76733,1702,4.33,2.81
Rohan Verma,2106725,1377860,4.91,498577,Food,Fitness,Hyderabad,673023,115568,5013,5.72,2.27
Aanya Kapoor,417674,250242,0.67,102356,Beauty,Food,Jaipur,143383,9714,334,2.41,4.57
Kabir Jain,2760571,1397420,7.08,709346,Health,Finance,Chandigarh,938185,101408,6705,3.92,2.27
Neha Singh,2314009,1409669,4.67,322907,Photography,Fashion,Jaipur,813380,58150,4609,2.71,4.56
Kabir Sharma,1364885,1083399,7.64,382217,Gaming,Education,Bangalore,474191,36377,1397,2.77,5.31
Aditya Jain,508585,368877,5.03,163583,Finance,Motivation,Hyderabad,132047,18401,1382,3.89,3.21
Vivaan Mehta,133856,77650,7.44,41478,Fitness,DIY,Delhi,52882,2726,181,2.17,3.02
Nikhil Kapoor,773713,538075,2.59,198504,Food,Comedy,Jaipur,261305,10571,535,1.44,2.84
Rohan Singh,1903094,887090,7.72,382304,Education,Motivation,Bangalore,511214,67811,1782,3.66,3.94
Tanya Jain,2431163,1122045,1.3,308978,Fitness,Photography,Bangalore,747967,109979,5896,4.77,2.99
Aarav Jain,2234073,1471494,6.75,313960,Gaming,Parenting,Kolkata,796319,89347,4246,4.19,1.8
Krishna Verma,805690,334606,6.07,141600,Education,Health,Delhi,294624,16234,425,2.07,2.77
Meera Jain,1982209,1290851,3.93,580927,Fitness,Comedy,Hyderabad,552423,118506,5855,6.27,2.67
Krishna Sharma,2716017,1610951,2.56,736655,Travel,Fashion,Mumbai,768041,133974,2766,5.03,4.02
Meera Singh,2132798,1536456,2.33,591009,Health,Tech,Jaipur,706243,42709,2145,2.1,3.01
Nikhil Kapoor,2641803,1250553,4.45,409726,Gaming,Travel,Mumbai,691377,95677,6598,3.87,2.66
Aditya Jain,2826243,1901821,6.58,442452,Food,Health,Kolkata,970087,55317,3956,2.1,3.55
Meera Sharma,2532133,1470910,0.87,752325,DIY,Travel,Chandigarh,652210,35897,2047,1.5,3.38
Dev Kaur,1937257,862841,1.52,478716,Fashion,Photography,Kolkata,557369,36865,2197,2.02,4.23
Tanya Kapoor,2486935,1288757,4.21,323772,Fitness,Fashion,Mumbai,974376,136997,4543,5.69,4.14
Diya Kaur,1895831,1255714,1.05,739039,Health,Finance,Pune,537227,40626,3118,2.31,1.94
Nikhil Jain,1939088,1323083,3.3,308438,Beauty,DIY,Kolkata,488236,47237,1022,2.49,2.7
Rohan Singh,2331398,982062,1.35,254177,Beauty,Tech,Hyderabad,678364,80561,5841,3.71,3.47
Nikhil Kaur,981243,514118,3.62,243612,Tech,Motivation,Delhi,245914,41077,2883,4.48,2.6
Ishaan Kapoor,93050,46256,0.61,12269,Gaming,Photography,Delhi,27014,1246,92,1.44,3.36
Riya Sharma,1127495,466753,7.02,205401,Beauty,Fashion,Kolkata,384281,18071,852,1.68,4.16
Meera Kaur,2370228,1536646,5.8,481764,Gaming,DIY,Delhi,815049,57644,4457,2.62,5.37
Arjun Sharma,50760,28277,3.71,9941,Finance,Comedy,Jaipur,18069,1728,88,3.58,2.92
Diya Mehta,2090132,989799,1.06,273367,Tech,Motivation,Hyderabad,684196,96471,6671,4.93,3.35
Riya Mehta,1528042,1047675,4.5,442798,Travel,Health,Chandigarh,514695,58693,2502,4,2.92
Aarav Jain,491025,350868,2.22,114727,Gaming,Fitness,Hyderabad,177949,26730,658,5.58,2.98
Ishaan Gupta,1344115,544960,5.24,270887,Food,Comedy,Mumbai,455096,30742,2348,2.46,2.03
Kabir Jain,664191,343687,0.69,70563,Fitness,Travel,Bangalore,263976,13646,1002,2.21,3.01
Ishaan Verma,2697943,1095169,2.67,542953,Beauty,Tech,Jaipur,678195,44550,1254,1.7,3.36
Aditya Sharma,146079,71917,0.6,39682,Travel,Finance,Pune,39726,5700,392,4.17,3.34
Kabir Kapoor,1692844,988960,3.31,355820,Fitness,Photography,Hyderabad,530915,93131,4212,5.75,4.06
Dev Sharma,1672313,782840,1.2,230352,DIY,Parenting,Chandigarh,583921,77839,4159,4.9,1.82
Nikhil Gupta,1974397,1326573,4.64,446701,Motivation,DIY,Jaipur,504965,105485,5457,5.62,4.05
Simran Gupta,1830971,1370313,0.75,464703,Motivation,Beauty,Jaipur,633433,26585,780,1.49,2.9
Dev Sharma,561614,447090,1.91,156824,Health,Education,Jaipur,204071,21971,1281,4.14,2.92
Riya Jain,1400329,854769,6.31,208870,Gaming,Travel,Mumbai,372610,79273,2695,5.85,3.16
Diya Singh,826508,450611,4.87,146254,Education,DIY,Delhi,247888,22216,732,2.78,3.19
Kabir Jain,2536757,1123382,5.06,469726,DIY,Motivation,Mumbai,719326,50136,3173,2.1,3.64
Sara Verma,976640,645317,2.89,249974,Photography,DIY,Chandigarh,343403,48698,1228,5.11,2.61
Aanya Jain,1542180,979597,3.26,214924,Travel,Tech,Hyderabad,430271,50096,1228,3.33,2.55
Krishna Gupta,128974,58511,7.5,19999,Gaming,Finance,Chandigarh,41344,2328,93,1.88,3.58
Arjun Mehta,1303604,548596,1.07,143028,Beauty,Food,Pune,367463,70471,5302,5.81,3.55
Nikhil Verma,2022898,811655,5.64,191032,DIY,Education,Delhi,586047,109032,8331,5.8,2.34
Simran Singh,2229191,1614725,3.72,362149,Beauty,Parenting,Pune,703831,77231,5479,3.71,3.05
Kabir Gupta,2940640,1758541,0.52,676873,Finance,Food,Mumbai,1065800,131907,5257,4.66,4.2
Aditya Verma,450065,317029,3.61,68517,Finance,Parenting,Chandigarh,113929,14639,398,3.34,3.66
Vivaan Singh,1070057,826228,6.01,317479,Health,Beauty,Pune,366963,62420,3861,6.19,2.76
Dev Verma,1691856,844420,3.06,350973,Fashion,Food,Kolkata,509466,50576,2920,3.16,2.62
Diya Kaur,2929745,2141949,3.35,540115,Fashion,Food,Delhi,1170386,140629,8937,5.11,3.07
Ishaan Gupta,242962,151357,0.67,34997,Gaming,Food,Kolkata,65211,11344,436,4.85,4.43
Simran Kaur,784980,625823,2.9,361781,Health,Parenting,Bangalore,307081,25516,1081,3.39,3.79
Kabir Kapoor,1060711,816601,7.29,355835,Comedy,Travel,Pune,341832,32778,2185,3.3,3.72
Neha Gupta,2146908,916006,5.87,368926,Health,Comedy,Hyderabad,598165,46989,3732,2.36,1.99
Diya Kapoor,285883,173737,4.09,88875,Gaming,Tech,Mumbai,85902,14845,635,5.41,4.06
Vivaan Verma,1865183,1179144,0.58,343118,Travel,Motivation,Mumbai,674957,107686,5399,6.06,3.14
Meera Jain,1225629,506739,6.01,281318,Education,Fashion,Jaipur,466534,45533,3355,3.99,3.38
Aarav Sharma,1113530,458541,4.29,188882,Parenting,Education,Pune,392843,28000,1447,2.64,4.41
Nikhil Gupta,618498,281015,1.6,148338,Photography,Travel,Hyderabad,173212,7761,388,1.32,2.19
Aarav Verma,666030,377344,0.64,129124,Tech,Parenting,Hyderabad,203862,37516,1231,5.82,3.96
Nikhil Singh,172810,128440,7.5,30157,Motivation,Finance,Delhi,55106,9249,649,5.73,2.78
Tanya Mehta,163438,108865,1.94,61092,Fashion,Parenting,Mumbai,60823,7758,180,4.86,2.08
Aditya Sharma,2271273,1313274,5.55,388842,Finance,Health,Pune,823868,76698,4800,3.59,2.75
Nikhil Verma,286136,188150,4.29,92830,Health,Beauty,Bangalore,75181,10807,331,3.89,3.3
Riya Jain,1806125,1033508,6.54,516686,Health,Travel,Jaipur,575671,99336,3652,5.7,2.41
Diya Verma,1708182,1228120,3.18,410207,DIY,Travel,Bangalore,505592,55570,2936,3.43,4.03
Dev Verma,805330,525942,4.17,152791,Photography,Travel,Delhi,216338,24967,1609,3.3,1.86
Aarav Verma,2991934,2280455,7.79,1007391,Gaming,Parenting,Hyderabad,983704,167758,5191,5.78,3.43
Meera Sharma,336050,159731,6.06,63438,Comedy,Parenting,Pune,129679,13446,721,4.22,4.43
Nikhil Sharma,1561394,1059282,1.17,237096,Fashion,Parenting,Chandigarh,607940,20973,526,1.38,4.11
Kabir Kapoor,1241500,714257,2.93,258849,Fitness,Gaming,Hyderabad,430276,22516,1005,1.89,2.87
Vivaan Mehta,2993721,2254412,1.97,700007,Motivation,Parenting,Mumbai,833725,72681,2058,2.5,2.91
Riya Jain,1338110,795901,3.21,210548,Fitness,Beauty,Mumbai,467713,21497,711,1.66,2.89
Dev Gupta,2467423,1939154,2.13,605373,Travel,Fitness,Chandigarh,766717,50337,3970,2.2,2.2
Neha Verma,614729,435424,5.41,120061,Beauty,Food,Pune,180162,32840,887,5.49,2.97
Riya Singh,1488981,1180423,1.43,275227,Fitness,Travel,Hyderabad,492699,48984,2005,3.42,2.67
Neha Verma,941975,651203,3.67,165213,Fashion,Travel,Delhi,336409,23931,1701,2.72,2.03
Tanya Singh,2870767,2289766,1.8,1086196,Comedy,Beauty,Hyderabad,1067853,62088,1877,2.23,4.52
Diya Kapoor,753063,367049,5.17,145714,Tech,Comedy,Pune,202044,17836,1043,2.51,1.94
Ananya Singh,183509,107691,7.13,38959,Photography,DIY,Hyderabad,71258,9999,674,5.82,4.23
Kiran Mehta,2724075,1997030,6.87,520101,Parenting,Fitness,Pune,1074865,73165,2386,2.77,3.82
Ishaan Verma,2881008,1945102,7.51,662520,Parenting,Finance,Bangalore,819292,77520,4688,2.85,2.73
Diya Gupta,2557549,1065428,1.44,603345,DIY,Photography,Pune,772181,67949,3235,2.78,3.15
Rohan Singh,2855761,1655965,6.34,587422,Health,Fashion,Kolkata,799270,44899,1298,1.62,2.97
Tanya Jain,1317212,998485,5.47,359770,Comedy,DIY,Jaipur,463255,75624,2618,5.94,2.51
Tanya Gupta,1334174,579592,1.7,118049,Comedy,Photography,Pune,343272,31609,642,2.42,2.65
Diya Kapoor,2108207,1120532,5.8,329857,Travel,DIY,Pune,684010,57833,4242,2.94,2.71
Krishna Sharma,473839,328266,5.26,162923,Tech,Motivation,Bangalore,189031,19675,1402,4.45,3.1
Meera Sharma,1736120,753853,3.02,410147,Tech,Photography,Bangalore,609934,62092,3614,3.78,3.35
Krishna Jain,1739139,996969,2.82,236371,Finance,Photography,Delhi,676516,96478,4268,5.79,5.22
Tanya Jain,185374,147584,3.33,49627,Fashion,Education,Mumbai,71678,7842,380,4.44,4.59
Riya Verma,225395,174720,2.09,70131,Gaming,Health,Mumbai,88743,7428,335,3.44,2.81
Kabir Jain,2587773,1767111,4.16,885802,Gaming,DIY,Jaipur,1001862,92410,3485,3.71,3
Krishna Jain,2268204,1331446,1.13,617822,Finance,Comedy,Hyderabad,868486,36761,953,1.66,2.35
Tanya Sharma,427220,313514,6.31,105984,Gaming,Parenting,Hyderabad,127142,17706,972,4.37,3.7
Meera Kapoor,1875005,914346,2.46,221514,Tech,Health,Bangalore,738693,47164,1120,2.58,4.37
Tanya Jain,758445,440143,2.1,242604,Gaming,Finance,Delhi,223452,30774,1993,4.32,2.93
Rohan Verma,2060765,1325471,1.14,504065,Food,Fashion,Delhi,630180,49352,1511,2.47,1.97
Riya Sharma,320471,184601,5.36,49469,Photography,Health,Jaipur,125912,12705,947,4.26,2.64
Arjun Gupta,2255830,1227032,6.49,350611,Travel,Parenting,Mumbai,894104,75109,5846,3.59,2.88
Meera Sharma,1607679,818363,6.3,178957,Finance,Comedy,Bangalore,471397,28677,2174,1.92,3.33
Aditya Sharma,2318967,1369958,1.43,575865,Fitness,Finance,Jaipur,650480,68293,3685,3.1,4.87
Vivaan Gupta,2349633,1335531,7.41,317522,Food,Tech,Hyderabad,866606,29782,2186,1.36,3.33
Simran Jain,2987803,2068034,3.36,1206419,Food,Fitness,Pune,934236,110837,3879,3.84,2.8
Meera Mehta,2144873,1654663,2.14,879160,Comedy,Travel,Pune,770274,79630,3586,3.88,3.93
Ishaan Singh,2865354,2117745,7.07,1090243,Fashion,Motivation,Bangalore,787078,120097,4108,4.33,2.72
Aarav Gupta,1285543,915337,7.38,299664,Gaming,Motivation,Hyderabad,457991,60148,3780,4.97,4.17
Diya Verma,511527,402094,7.95,121008,Photography,Fashion,Pune,182393,8035,583,1.68,2.82
Dev Jain,2427207,1383663,1.66,617238,Health,Parenting,Hyderabad,942338,36116,2022,1.57,2.88
Meera Sharma,1115763,491009,4.09,116429,Fashion,Education,Mumbai,388298,25305,1986,2.45,3.31
Ananya Kaur,2677234,1747699,1.13,964387,Comedy,Finance,Kolkata,783649,35260,2820,1.42,2.87
Aanya Kaur,2334867,1795417,4.36,533207,Comedy,Fitness,Pune,710287,75367,5410,3.46,2.45
Rohan Kaur,2417958,1773557,3.54,621345,Tech,Motivation,Chandigarh,955750,33025,1336,1.42,4.03
Kiran Kaur,2238843,1178344,1.47,646177,Fashion,Finance,Mumbai,629817,98593,7177,4.72,4.21
Simran Mehta,2785019,2008996,4.88,461276,Comedy,Fashion,Hyderabad,846332,56657,3732,2.17,3.45
Simran Verma,1741535,1137126,4.38,428145,Parenting,Fitness,Bangalore,499577,92331,5505,5.62,2.49
Krishna Singh,1147011,505852,7.33,196686,Gaming,Finance,Pune,315340,68697,1717,6.14,5.47
Aditya Mehta,1175715,704708,6.29,275939,Fashion,Parenting,Jaipur,403398,31446,1427,2.8,4.43
Ishaan Singh,1902170,1208738,1.13,286714,Health,Tech,Bangalore,490136,58682,4154,3.3,3.19
Ananya Jain,2254506,996316,6.98,515683,DIY,Health,Bangalore,853148,126746,7989,5.98,4.27
Meera Verma,1830780,828977,2.11,413362,DIY,Tech,Jaipur,729914,67041,4194,3.89,3.22
Ishaan Mehta,1056911,662999,3.5,137317,Fitness,Fashion,Jaipur,288910,57963,3350,5.8,1.91
Ananya Verma,1267895,932393,2.57,352174,Fashion,Beauty,Kolkata,439550,50323,2197,4.14,2.78
Simran Gupta,1621194,1106624,5.14,224146,Travel,Gaming,Jaipur,439802,35051,2313,2.3,2.45
Kabir Jain,2257219,1086979,1.96,588443,Food,Gaming,Kolkata,771937,125821,2757,5.7,2.77
Neha Gupta,2072931,1324999,7.19,484858,Gaming,DIY,Hyderabad,749194,27219,613,1.34,2.63
Diya Jain,2059783,893247,1.14,489085,Education,Fashion,Pune,722078,76114,5053,3.94,2.81
Nikhil Singh,1123991,579057,6.28,218732,Comedy,DIY,Pune,378112,65338,3934,6.16,4.03
Riya Kaur,2536781,1566376,6.69,920995,Comedy,Fitness,Hyderabad,876820,130059,10254,5.53,3.39
Vivaan Sharma,607546,460361,1.51,146597,Education,Tech,Delhi,179349,12512,382,2.12,2.63
Aditya Kapoor,1119574,807208,1.72,188190,Comedy,Gaming,Mumbai,318965,16046,671,1.49,2.88
Aditya Sharma,1943959,869085,2.52,186963,Comedy,Travel,Hyderabad,650081,75399,3853,4.08,1.99
Ishaan Jain,89904,58010,6.67,22572,Comedy,Finance,Jaipur,34740,4549,264,5.35,1.97
Tanya Mehta,245025,169767,3.8,60041,Motivation,Comedy,Hyderabad,66767,7719,306,3.28,3.69
Ishaan Kapoor,230887,139095,5.06,77825,Travel,Comedy,Kolkata,60921,5349,120,2.37,2.72
Aarav Sharma,345153,203556,7.87,55375,Beauty,Food,Bangalore,136889,17527,1029,5.38,2.14
Kabir Sharma,591044,332698,6.15,147363,Comedy,Fitness,Bangalore,180969,24861,842,4.35,2.96
Diya Mehta,1729483,1345725,3.56,708655,Fitness,Parenting,Pune,523754,28170,1952,1.74,2.51
Simran Jain,1588811,923780,7.05,311937,Food,Education,Mumbai,501969,42978,1305,2.79,3.76
Aarav Jain,1704178,1227610,3.17,734944,Health,Fitness,Kolkata,460147,96519,4444,5.92,2.9
Ananya Mehta,730621,348987,3.32,83426,Motivation,DIY,Jaipur,273690,39011,875,5.46,3.24
Sara Mehta,739610,523832,4.12,240329,Fashion,Food,Chandigarh,258606,14316,324,1.98,2.51
Riya Jain,2015987,958678,5.55,569817,Food,Fashion,Chandigarh,669928,36708,1675,1.9,3.18
Kiran Mehta,2054705,1196121,7.1,618953,Tech,Motivation,Bangalore,604636,24501,1671,1.27,2.83
Meera Gupta,566014,367348,4.66,86596,Health,Travel,Hyderabad,179854,23865,1240,4.44,3.88
Ishaan Mehta,1643016,705402,3.77,383256,Health,Beauty,Mumbai,592657,35831,2333,2.32,2.92
Aditya Kaur,683776,344051,4.85,98133,DIY,Health,Jaipur,190189,22598,772,3.42,3.01
Dev Sharma,2157132,1506390,2.11,429298,Gaming,Finance,Pune,824479,94275,2901,4.5,1.98
Aanya Jain,102524,70960,4.65,35731,Fitness,Health,Mumbai,28825,5441,159,5.46,2.8
Sara Verma,737902,507425,2.1,244148,Finance,Fitness,Chandigarh,272013,39150,1594,5.52,3.51
Ananya Verma,1492899,741674,6.31,275809,Tech,Parenting,Mumbai,406651,65188,3820,4.62,2.7
Ishaan Sharma,585814,244479,7.18,82212,Motivation,Gaming,Jaipur,177990,23150,1736,4.25,4.32
Aanya Singh,2322405,1037588,5.2,214630,Education,Tech,Mumbai,611500,68034,3404,3.08,5.04
Krishna Gupta,692101,549520,7.46,189834,Health,DIY,Chandigarh,241095,24795,1119,3.74,5.19
Vivaan Verma,2904594,1176668,6.53,483563,Gaming,Food,Mumbai,1115959,97422,4231,3.5,3.63
Aditya Kapoor,696872,485392,6.1,274937,Gaming,Health,Delhi,202733,12572,681,1.9,4.67
Arjun Sharma,2083632,1146295,7.61,641430,Health,Finance,Pune,602964,59527,4632,3.08,5.39
Meera Verma,2562556,1122700,4.94,583103,Education,Fitness,Jaipur,702938,82126,4958,3.4,4.1
Neha Gupta,937711,695181,2.55,224501,Comedy,Beauty,Kolkata,302730,24087,528,2.63,3.17
Simran Jain,925985,633687,6.44,317648,Beauty,Health,Hyderabad,317917,14785,769,1.68,5.71
Nikhil Kaur,791208,619132,7.16,210524,Health,Fashion,Pune,236346,36659,2673,4.97,3.52
Krishna Gupta,2347884,1568160,0.97,656355,Parenting,Finance,Delhi,904563,47093,3745,2.17,2.96
Dev Verma,807494,553500,6.3,180496,Education,Food,Mumbai,226182,29226,1041,3.75,3.27
Vivaan Kaur,207132,129692,7.51,46561,Food,Finance,Kolkata,62054,5344,183,2.67,2.09
Riya Jain,387350,174573,7.19,72472,Parenting,Health,Mumbai,107531,6370,494,1.77,2.19
Ananya Verma,1077247,479376,1.6,277343,Gaming,Comedy,Chandigarh,292862,45349,1339,4.33,3.19
Dev Mehta,2266422,1273190,6.51,560029,Travel,DIY,Pune,742730,68827,3813,3.21,2.94
Dev Verma,144545,75227,2.8,33868,Finance,Beauty,Mumbai,55484,1730,136,1.29,3.68
Simran Mehta,2161176,1149163,2.95,483566,DIY,Beauty,Hyderabad,731579,33482,2423,1.66,3.8
Simran Gupta,1043598,765531,1.95,317462,Gaming,Tech,Jaipur,323093,29370,1637,2.97,2.14
Ananya Singh,2109080,937616,6.43,272750,Comedy,Travel,Chandigarh,551410,113102,4068,5.56,4.49
Tanya Kapoor,766734,388927,4.92,182435,Fashion,Tech,Pune,302612,23355,946,3.17,4.33
Ananya Kaur,987444,528936,3.59,254190,Fitness,Parenting,Delhi,284679,58443,1494,6.07,3.91
Aanya Gupta,859450,392157,6.46,176326,Fashion,Motivation,Chandigarh,261313,40772,1161,4.88,2.94
Neha Jain,1318572,952371,4.72,533993,Health,Parenting,Chandigarh,527181,51018,2383,4.05,5.39
Dev Sharma,249521,145011,1.48,51024,Fitness,Finance,Chandigarh,87377,8215,496,3.49,3.3
Krishna Singh,1936843,1332753,1.8,281791,DIY,Fitness,Hyderabad,541451,72988,5337,4.04,4.23
Rohan Sharma,2259170,1377873,7.01,673102,Gaming,Fitness,Delhi,818250,31409,1883,1.47,3.17
Aarav Sharma,1195207,815600,1.23,360292,DIY,Parenting,Mumbai,397678,45730,3242,4.1,2.45
Diya Gupta,2667117,1540455,5.06,841299,Comedy,Travel,Kolkata,678913,78259,3513,3.07,3.04
Arjun Verma,819925,654199,6.14,331604,Motivation,Education,Hyderabad,252821,25092,1337,3.22,5.19
Dev Kaur,575470,403161,1.35,177651,Photography,Parenting,Jaipur,186955,17812,787,3.23,3.37
Nikhil Sharma,359213,261016,0.61,112908,Motivation,Food,Hyderabad,111257,9628,427,2.8,4.14
Rohan Verma,896030,567160,6.95,199270,Tech,Comedy,Bangalore,316596,52915,1895,6.12,2.65
Rohan Kapoor,1176444,533866,4.59,290878,Parenting,Fashion,Bangalore,379214,48506,2478,4.33,4.76
Kabir Gupta,1418429,1096383,3.05,657094,Parenting,Education,Pune,409130,14501,1159,1.1,4.35
Ishaan Gupta,1819661,980422,5.19,402163,Parenting,Travel,Chandigarh,501842,87968,1830,4.93,3.07
Kabir Verma,1843433,843521,3.84,374989,Food,Fashion,Jaipur,606548,74869,2571,4.2,3.18
Aanya Jain,1630439,1275689,3.57,513141,Fashion,Finance,Pune,486729,60491,3558,3.93,2.95
Tanya Jain,996244,754069,4.08,331664,Travel,Beauty,Jaipur,348113,43805,926,4.49,5.11
Nikhil Sharma,2191768,1446321,1.19,863299,Photography,Parenting,Kolkata,600724,114102,5321,5.45,2.02
Tanya Mehta,1326187,721096,4.26,168782,Education,Travel,Mumbai,345778,72759,4216,5.8,3.53
Kabir Jain,1596882,675902,7.03,395703,Motivation,Parenting,Mumbai,550551,23041,686,1.49,3.05
Kiran Jain,1168938,632011,7.02,249274,Travel,Gaming,Pune,415711,67150,2712,5.98,3.47
Neha Gupta,1487305,957574,2.16,417591,Education,Finance,Jaipur,570324,30870,1839,2.2,2.79
Dev Verma,2353092,1205716,2.1,610135,Photography,Finance,Bangalore,785785,42655,2964,1.94,2.41
Kiran Kapoor,2182121,1398175,1.21,371834,Food,Health,Chandigarh,568183,111866,2481,5.24,4.03
Meera Jain,1445233,734176,5.96,398192,Finance,Fitness,Jaipur,453482,44492,1879,3.21,2.49
Diya Kapoor,2377863,1760595,7.68,577476,Beauty,Fitness,Chandigarh,772874,46945,2443,2.08,2.65
Aditya Verma,72505,42349,3.24,22793,Gaming,Parenting,Delhi,22737,2088,104,3.02,2.42
Nikhil Sharma,871403,406637,1.11,81649,DIY,Parenting,Mumbai,297039,18052,688,2.15,3.48
Aditya Gupta,2892141,1876639,4.82,923684,Fashion,Motivation,Chandigarh,954751,161607,11630,5.99,3.35
Ananya Singh,1967417,950768,7.35,551598,Finance,Beauty,Kolkata,684281,102549,5679,5.5,5.21
Nikhil Verma,740449,322373,2.6,64691,Travel,Parenting,Chandigarh,269362,41244,2700,5.93,4.31
Rohan Verma,349969,222959,5.69,72623,Beauty,Travel,Jaipur,99085,4948,303,1.5,3.94
